skill,courses,difficulty,time_estimate
python,"[""Python for Everybody - Coursera"", ""Complete Python Bootcamp - Udemy"", ""Python Documentation - python.org""]",beginner,3-6 months
javascript,"[""JavaScript: The Complete Guide - Udemy"", ""freeCodeCamp JavaScript Algorithms"", ""MDN JavaScript Guide""]",beginner,3-6 months
typescript,"[""TypeScript Documentation - typescriptlang.org"", ""Understanding TypeScript - Udemy"", ""TypeScript Deep Dive - GitBook""]",intermediate,1-2 months
java,"[""Java Programming Masterclass - Udemy"", ""Java MOOC - University of Helsinki"", ""Oracle Java Documentation""]",intermediate,4-6 months
c++,"[""C++ Programming Course - freeCodeCamp"", ""Learn C++ - Codecademy"", ""The Cherno C++ Series - YouTube""]",advanced,4-6 months
c#,"[""C# Fundamentals - Pluralsight"", ""Complete C# Unity Developer - Udemy"", ""Microsoft C# Documentation""]",intermediate,3-4 months
react,"[""React Documentation - react.dev"", ""Complete React Developer - ZTM"", ""Epic React - Kent C. Dodds""]",intermediate,2-3 months
angular,"[""Angular - The Complete Guide - Udemy"", ""Angular Documentation - angular.io"", ""Angular University""]",intermediate,3-4 months
vue.js,"[""Vue Mastery - Official Vue.js Courses"", ""Vue.js Documentation - vuejs.org"", ""The Complete Vue.js Course - Udemy""]",intermediate,2-3 months
node.js,"[""The Complete Node.js Developer Course - Udemy"", ""Node.js Documentation - nodejs.org"", ""Node.js Design Patterns - Book""]",intermediate,2-3 months
django,"[""Django for Beginners - William Vincent"", ""Django Documentation - djangoproject.com"", ""Two Scoops of Django - Book""]",intermediate,2-3 months
flask,"[""Flask Mega-Tutorial - Miguel Grinberg"", ""Flask Documentation"", ""Full Stack Python with Flask - Udemy""]",intermediate,1-2 months
fastapi,"[""FastAPI Documentation - fastapi.tiangolo.com"", ""FastAPI Full Course - freeCodeCamp"", ""Building APIs with FastAPI - Book""]",intermediate,1-2 months
spring boot,"[""Spring Boot Tutorial - Baeldung"", ""Spring Boot Reference Documentation"", ""Spring Boot Masterclass - Udemy""]",advanced,3-4 months
sql,"[""SQL for Data Science - Coursera"", ""The Complete SQL Bootcamp - Udemy"", ""SQLZoo Interactive Tutorial""]",beginner,1-2 months
mongodb,"[""MongoDB University - Free Courses"", ""MongoDB - The Complete Developer's Guide - Udemy"", ""MongoDB Documentation""]",intermediate,1-2 months
postgresql,"[""PostgreSQL Tutorial - postgresqltutorial.com"", ""The Complete SQL Bootcamp - Udemy"", ""PostgreSQL Documentation""]",intermediate,2-3 months
redis,"[""Redis University - Free Courses"", ""Redis Documentation"", ""Redis in Action - Book""]",intermediate,1-2 months
docker,"[""Docker Mastery - Udemy"", ""Docker Documentation - docker.com"", ""Play with Docker - Interactive Labs""]",intermediate,1-2 months
kubernetes,"[""Certified Kubernetes Administrator - Linux Foundation"", ""Kubernetes Documentation - kubernetes.io"", ""Kubernetes the Hard Way - Kelsey Hightower""]",advanced,3-4 months
aws,"[""AWS Certified Solutions Architect - A Cloud Guru"", ""AWS Documentation & Free Tier"", ""AWS Well-Architected Framework""]",intermediate,3-6 months
azure,"[""Microsoft Azure Fundamentals - Microsoft Learn"", ""Azure Documentation"", ""AZ-900 Certification Path""]",intermediate,3-6 months
gcp,"[""Google Cloud Skills Boost"", ""GCP Documentation"", ""Google Cloud Certified - Professional Cloud Architect""]",intermediate,3-6 months
terraform,"[""Learn Terraform - HashiCorp Learn"", ""Terraform Up & Running - Book"", ""Terraform Documentation""]",intermediate,2-3 months
machine learning,"[""Machine Learning - Andrew Ng (Coursera)"", ""Fast.ai Practical Deep Learning"", ""Hands-On Machine Learning - Book""]",advanced,4-6 months
tensorflow,"[""TensorFlow Developer Certificate - Google"", ""TensorFlow Documentation & Tutorials"", ""Deep Learning Specialization - Coursera""]",advanced,3-4 months
pytorch,"[""PyTorch Documentation & Tutorials"", ""Deep Learning with PyTorch - Book"", ""Fast.ai Course using PyTorch""]",advanced,3-4 months
pandas,"[""Pandas Documentation"", ""Data Analysis with Pandas - Coursera"", ""Python for Data Analysis - Book""]",intermediate,1-2 months
numpy,"[""NumPy Documentation"", ""NumPy Tutorial - W3Schools"", ""Scientific Computing with Python - freeCodeCamp""]",beginner,1 month
react native,"[""React Native Documentation"", ""The Complete React Native Course - Udemy"", ""React Native Express""]",intermediate,2-3 months
flutter,"[""Flutter Documentation - flutter.dev"", ""The Complete Flutter Development Bootcamp"", ""Flutter & Dart - The Complete Guide""]",intermediate,2-3 months
git,"[""Pro Git Book - Free Online"", ""Git Documentation"", ""GitHub Skills""]",beginner,1-2 weeks
github,"[""GitHub Documentation"", ""GitHub Skills - Interactive Courses"", ""GitHub Learning Lab""]",beginner,1 week
